,Player,Salary,
1,Kobe Bryant,"$25,000,000 ",
2,LeBron James,"$22,970,500 ",
3,Carmelo Anthony,"$22,875,000 ",
4,Dwight Howard,"$22,359,364 ",
5,Joe Johnson,"$22,309,344 ",
6,Chris Bosh,"$22,192,730 ",
7,Kevin Durant,"$21,971,850 ",
8,Chris Paul,"$21,468,695 ",
9,Derrick Rose,"$20,093,064 ",
10,Dwyane Wade,"$20,000,000 ",
11,LaMarcus Aldridge,"$19,689,000 ",
11,Marc Gasol,"$19,689,000 ",
11,DeAndre Jordan,"$19,689,000 ",
11,Kevin Love,"$19,689,000 ",
11,Brook Lopez,"$19,689,000 ",
16,Blake Griffin,"$18,862,876 ",
17,Paul Millsap,"$18,671,659 ",
18,David Lee,"$17,120,776 ",
19,Paul George,"$16,900,000 ",
20,Russell Westbrook,"$16,744,218 ",
21,Kawhi Leonard,"$16,407,500 ",
21,Enes Kanter,"$16,407,500 ",
21,Greg Monroe,"$16,407,500 ",
21,Wesley Matthews,"$16,407,500 ",
21,Kyrie Irving,"$16,407,500 ",
21,Jimmy Butler,"$16,407,500 ",
27,Tobias Harris,"$16,000,000 ",
28,James Harden,"$15,719,062 ",
29,Eric Gordon,"$15,514,031 ",
29,Roy Hibbert,"$15,514,031 ",
31,Klay Thompson,"$15,501,000 ",
32,Gordon Hayward,"$15,409,570 ",
33,Chandler Parsons,"$15,361,500 ",
34,Goran Dragic,"$14,783,000 ",
35,John Wall,"$14,728,844 ",
35,DeMarcus Cousins,"$14,728,844 ",
37,Khris Middleton,"$14,700,000 ",
38,Draymond Green,"$14,260,870 ",
39,Tristan Thompson,"$14,260,000 ",
40,Danilo Gallinari,"$14,000,000 ",
41,Reggie Jackson,"$13,913,044 ",
42,DeMarre Carroll,"$13,600,000 ",
43,Brandon Knight,"$13,500,000 ",
43,Eric Bledsoe,"$13,500,000 ",
43,Al Jefferson,"$13,500,000 ",
46,Tony Parker,"$13,437,500 ",
47,Joakim Noah,"$13,400,000 ",
48,JaVale McGee,"$13,270,964 ",
49,Nenê,"$13,000,000 ",
49,Tyson Chandler,"$13,000,000 ",
51,Ricky Rubio,"$12,700,000 ",
52,Robin Lopez,"$12,650,000 ",
53,Ty Lawson,"$12,444,552 ",
54,Rudy Gay,"$12,403,101 ",
55,Serge Ibaka,"$12,250,000 ",
56,Nikola Pekovic,"$12,100,000 ",
57,Derrick Favors,"$12,000,000 ",
57,Kyle Lowry,"$12,000,000 ",
57,Andrew Bogut,"$12,000,000 ",
57,Kemba Walker,"$12,000,000 ",
57,Amir Johnson,"$12,000,000 ",
57,Al Horford,"$12,000,000 ",
63,Nicolas Batum,"$11,860,750 ",
64,Andre Iguodala,"$11,710,456 ",
65,Stephen Curry,"$11,370,786 ",
66,Nikola Vucevic,"$11,250,000 ",
67,Kenneth Faried,"$11,235,955 ",
67,Thaddeus Young,"$11,235,955 ",
69,Marcin Gortat,"$11,217,391 ",
70,Jrue Holiday,"$11,000,000 ",
71,Deron Williams,"$10,853,761 ",
72,Tyreke Evans,"$10,734,586 ",
73,Wilson Chandler,"$10,449,438 ",
74,Monta Ellis,"$10,300,000 ",
75,Anderson Varejao,"$10,158,574 ",
76,Luol Deng,"$10,151,612 ",
77,Gerald Wallace,"$10,105,855 ",
78,Danny Green,"$10,000,000 ",
78,Zach Randolph,"$10,000,000 ",
80,Mike Conley,"$9,680,000 ",
81,DeMar DeRozan,"$9,500,000 ",
81,Rajon Rondo,"$9,500,000 ",
83,Alec Burks,"$9,213,484 ",
84,Omer Asik,"$9,213,483 ",
85,Jeff Green,"$9,200,000 ",
86,Lance Stephenson,"$9,000,000 ",
87,Iman Shumpert,"$8,988,765 ",
88,Ryan Anderson,"$8,500,000 ",
88,Kevin Garnett,"$8,500,000 ",
88,Taj Gibson,"$8,500,000 ",
88,Tiago Splitter,"$8,500,000 ",
92,Brandon Jennings,"$8,344,497 ",
93,Dirk Nowitzki,"$8,333,333 ",
94,Corey Brewer,"$8,229,375 ",
95,Trevor Ariza,"$8,200,000 ",
96,Channing Frye,"$8,193,029 ",
97,Al-Farouq Aminu,"$8,042,895 ",
98,Markieff Morris,"$8,000,000 ",
98,Arron Afflalo,"$8,000,000 ",
98,OJ Mayo,"$8,000,000 ",
98,George Hill,"$8,000,000 ",
98,Jeff Teague,"$8,000,000 ",
